Country,Location,Source,Approximate_Latitude,Approximate_Longitude,DOI,Sample_ID,Microplastic_Concentration_L
Russia,Russia,tap water,64.6863136,97.7453061,10.3390/app112110109,Russia1|10.3390/app112110109,148.0
Scotland,Scotland,tap water,,,10.3390/app112110109,Scotland1|10.3390/app112110109,0.25
Scotland,Scotland,tap water,,,10.3390/app112110109,Scotland2|10.3390/app112110109,1.0
South Korea,South Korea,tap water,36.638392,127.6961188,10.3390/app112110109,SouthKorea1|10.3390/app112110109,49.0
South Korea,South Korea,tap water,36.638392,127.6961188,10.3390/app112110109,SouthKorea2|10.3390/app112110109,33.0
South Korea,South Korea,tap water,36.638392,127.6961188,10.3390/app112110109,SouthKorea3|10.3390/app112110109,297.0
South Korea,South Korea,tap water,36.638392,127.6961188,10.3390/app112110109,SouthKorea4|10.3390/app112110109,66.0
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain1|10.3390/app112110109,0.31
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain2|10.3390/app112110109,0.44
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain3|10.3390/app112110109,0.92
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain4|10.3390/app112110109,1.08
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain5|10.3390/app112110109,12.8
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain6|10.3390/app112110109,41.77
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain7|10.3390/app112110109,16.4
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain8|10.3390/app112110109,131.36
Spain,Spain,tap water,39.3260685,-4.8379791,10.3390/app112110109,Spain9|10.3390/app112110109,0.98
Sweden,Sweden,tap water,59.6749712,14.5208584,10.3390/app112110109,Sweden1|10.3390/app112110109,4.0
Sweden,Sweden,tap water,59.6749712,14.5208584,10.3390/app112110109,Sweden2|10.3390/app112110109,0.008
Thailand,Thailand,tap water,14.8971921,100.83273,10.3390/app112110109,Thailand1|10.3390/app112110109,2.0
Turkey,Turkey,tap water,38.9597594,34.9249653,10.3390/app112110109,Turkey1|10.3390/app112110109,7.0
Turkey,Turkey,tap water,38.9597594,34.9249653,10.3390/app112110109,Turkey2|10.3390/app112110109,4.11
Turkey,Turkey,tap water,38.9597594,34.9249653,10.3390/app112110109,Turkey3|10.3390/app112110109,1.6
Turkey,Turkey,tap water,38.9597594,34.9249653,10.3390/app112110109,Turkey4|10.3390/app112110109,0.7
Turkey,Turkey,tap water,38.9597594,34.9249653,10.3390/app112110109,Turkey5|10.3390/app112110109,0.6
UK,UK,tap water,54.7023545,-3.2765753,10.3390/app112110109,UK1|10.3390/app112110109,15.7
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA1|10.3390/app112110109,3.7
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA2|10.3390/app112110109,17.6
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA3|10.3390/app112110109,17.2
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA4|10.3390/app112110109,0.09
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA5|10.3390/app112110109,0.05
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA6|10.3390/app112110109,5.9
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA7|10.3390/app112110109,2.6
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA8|10.3390/app112110109,0.098
USA,USA,tap water,39.7837304,-100.445882,10.3390/app112110109,USA9|10.3390/app112110109,0.00088
India,"Kolkata, India",tap water,22.3511148,78.6677428,10.1016/j.jhazmat.2021.125347,27.11.2019|10.1016/j.jhazmat.2021.125347,2.71
India,"Kolkata, India",tap water,22.3511148,78.6677428,10.1016/j.jhazmat.2021.125347,21.12.2019|10.1016/j.jhazmat.2021.125347,2.56
India,"Kolkata, India",tap water,22.3511148,78.6677428,10.1016/j.jhazmat.2021.125347,22.01.2020|10.1016/j.jhazmat.2021.125347,2.4
India,"Kolkata, India",tap water,22.3511148,78.6677428,10.1016/j.jhazmat.2021.125347,19.02.2020|10.1016/j.jhazmat.2021.125347,2.85
India,"Kolkata, India",tap water,22.3511148,78.6677428,10.1016/j.jhazmat.2021.125347,16.03.2020|10.1016/j.jhazmat.2021.125347,3.23
Czech Republic,"Uhlava River, Czech Republic",tap water,49.7439047,15.3381061,10.1016/j.scitotenv.2020.140236,Milence|10.1016/j.scitotenv.2020.140236,2.8
Czech Republic,"Uhlava River, Czech Republic",tap water,49.7439047,15.3381061,10.1016/j.scitotenv.2020.140236,Milence|10.1016/j.scitotenv.2020.140236,17.0
Czech Republic,"Uhlava River, Czech Republic",tap water,49.7439047,15.3381061,10.1016/j.scitotenv.2020.140236,Plzen|10.1016/j.scitotenv.2020.140236,12.0
Czech Republic,"Uhlava River, Czech Republic",tap water,49.7439047,15.3381061,10.1016/j.scitotenv.2020.140236,Plzen|10.1016/j.scitotenv.2020.140236,180.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,125.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,0.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,872.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,748.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,1247.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,623.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,125.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,0.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,1247.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,623.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,499.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,748.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,623.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,374.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,249.0
China,China,tap water,35.000074,104.999927,10.1016/j.chemosphere.2020.126493,A|10.1016/j.chemosphere.2020.126493,748.0
China,"Yangtze River, China",tap water,35.000074,104.999927,10.1016/j.scitotenv.2019.134520,Finished|10.1016/j.scitotenv.2019.134520,930.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,April_DWTP|10.1007/s11356-021-13769-x,282.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,April_Tap|10.1007/s11356-021-13769-x,267.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,May_DWTP|10.1007/s11356-021-13769-x,338.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,May_Tap|10.1007/s11356-021-13769-x,321.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,June_DWTP|10.1007/s11356-021-13769-x,388.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,June_Tap|10.1007/s11356-021-13769-x,381.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,July_DWTP|10.1007/s11356-021-13769-x,400.0
China,XiangJiang River,tap water,35.000074,104.999927,10.1007/s11356-021-13769-x,July_Tap|10.1007/s11356-021-13769-x,405.0
South Korea,South Korea,tap water,36.638392,127.6961188,10.1016/j.scitotenv.2022.154015,1|10.1016/j.scitotenv.2022.154015,0.2
