Measurement,Unit,Latitude,Longitude,Date,Oceans,Regions,SubRegions,Sampling Method,Density Class
0.0,pieces/m3,19.8,-143.03,2007-03-02,Pacific Ocean,,,Neuston net,Very Low
0.0,pieces/m3,31.72,-144.77,2010-10-04,Pacific Ocean,,,Neuston net,Very Low
2.670203,pieces/m3,40.988333,2.831667,2014-08-26,Atlantic Ocean,Mediterranean Sea,Balearic Sea,Manta net,High
0.001,pieces/m3,52.3732,-131.356,2015-06-13,Pacific Ocean,Coastal Waters of Southeast Alaska and British Columbia,,Grab sample,Low
0.200583,pieces/m3,42.8535,5.916167,2015-08-05,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,Medium
0.876588,pieces/m3,44.113,9.68065,2019-06-13,Atlantic Ocean,Mediterranean Sea,Ligurian Sea,Manta net,Medium
0.0,pieces/m3,3.48,-143.62,2009-07-16,Pacific Ocean,,,Neuston net,Very Low
1.203,pieces/m3,32.2103,-130.245,2009-08-06,Pacific Ocean,,,Manta net,High
4.155,pieces/m3,35.806,-139.7601,2009-08-13,Pacific Ocean,,,Manta net,High
0.053,pieces/m3,35.3361,-129.8055,2010-10-26,Pacific Ocean,,,Manta net,Medium
0.0,pieces/m3,38.0,-127.817,1972-05-03,Pacific Ocean,,,Neuston net,Very Low
0.299882,pieces/m3,37.7341,3.8056,2014-09-13,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,Medium
2.762513,pieces/m3,38.4763,15.0934,2014-07-12,Atlantic Ocean,Mediterranean Sea,Tyrrhenian Sea,Manta net,High
0.01728,pieces/m3,43.95,-57.26,1989-08-02,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,43.02,-60.73,2000-07-25,Atlantic Ocean,,,Neuston net,Very Low
0.00648,pieces/m3,45.05,-60.25,1998-07-23,Atlantic Ocean,,,Neuston net,Medium
0.006172,pieces/m3,42.43,-70.14,1998-06-28,Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,,Neuston net,Medium
0.003324,pieces/m3,27.33,-142.18,2007-08-07,Pacific Ocean,,,Neuston net,Low
0.0,pieces/m3,40.67,-70.52,1994-08-07,Atlantic Ocean,,,Neuston net,Very Low
36.0,pieces/m3,40.3786,-71.1533,2018-05-08,Atlantic Ocean,,,Intake seawater pump,Very High
0.0,pieces/m3,37.75,-67.62,2000-10-20,Atlantic Ocean,,,Neuston net,Very Low
0.00864,pieces/m3,35.15,-61.73,2004-10-21,Atlantic Ocean,,,Neuston net,Medium
0.690494,pieces/m3,37.524483,-0.7165,2014-05-13,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,Medium
0.416761,pieces/m3,36.3635,-4.835833,2021-04-05,Atlantic Ocean,Mediterranean Sea,Alboran Sea,Manta net,Medium
0.040112,pieces/m3,32.01,-66.6,2001-04-10,Atlantic Ocean,,,Neuston net,Medium
0.030236,pieces/m3,32.16,-64.88,1997-04-09,Atlantic Ocean,,,Neuston net,Medium
0.028796,pieces/m3,36.14,-63.92,2004-05-28,Atlantic Ocean,,,Neuston net,Medium
0.00648,pieces/m3,35.82,-65.81,1989-06-07,Atlantic Ocean,,,Neuston net,Medium
0.01296,pieces/m3,41.41,-70.88,1995-08-09,Atlantic Ocean,,,Neuston net,Medium
0.075592,pieces/m3,29.18,-61.13,1997-10-28,Atlantic Ocean,,,Neuston net,Medium
0.00864,pieces/m3,22.1,-69.2,2001-02-21,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,25.22,-68.4,1998-02-23,Atlantic Ocean,,,Neuston net,Very Low
1.465596,pieces/m3,27.62,-72.5,2000-06-01,Atlantic Ocean,,,Neuston net,High
0.003928,pieces/m3,23.33,-74.62,1998-02-21,Atlantic Ocean,,,Neuston net,Low
0.00864,pieces/m3,15.45,-70.82,1997-12-19,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.00216,pieces/m3,16.1,-73.79,2000-12-20,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.02376,pieces/m3,16.97,-61.91,2000-11-08,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
5641.748942,pieces/m3,20.751055,-105.37303,2018-06-09,Pacific Ocean,,,PVC cylinder,Medium
1710.0,pieces/m3,0.019161,-47.805692,2018-10-23,Atlantic Ocean,,,Aluminum bucket,Very High
0.0,pieces/m3,16.45,-79.18,1993-03-29,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,16.25,-85.87,1987-03-02,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,11.72,-67.75,1994-12-14,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0072,pieces/m3,15.33,-62.15,1993-12-06,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.197789,pieces/m3,54.546833,-146.002,2019-03-01,Pacific Ocean,,,Neuston net,Medium
0.0,pieces/m3,5.28,-146.64,2005-04-04,Pacific Ocean,,,Neuston net,Very Low
2.712124,pieces/m3,25.28,-147.0,2009-02-13,Pacific Ocean,,,Neuston net,High
3.938291,pieces/m3,26.876733,-144.96945,2019-11-29,Pacific Ocean,,,Manta net,High
0.060476,pieces/m3,26.21,-144.53,2006-05-31,Pacific Ocean,,,Neuston net,Medium
0.0,pieces/m3,33.08,-147.02,2011-12-13,Pacific Ocean,,,Neuston net,Very Low
1.977825,pieces/m3,27.8938,-131.25535,2015-09-17,Pacific Ocean,,,Manta net,High
6.136246,pieces/m3,30.002517,-141.358,2015-08-02,Pacific Ocean,,,Manta net,High
1.092936,pieces/m3,38.418333,2.066667,2013-10-25,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,High
0.399333,pieces/m3,41.175724,1.526081,2021-01-27,Atlantic Ocean,Mediterranean Sea,Balearic Sea,Manta net,Medium
0.557809,pieces/m3,44.29785,9.149569,2018-09-06,Atlantic Ocean,Mediterranean Sea,Ligurian Sea,Manta net,Medium
0.034178,pieces/m3,-14.4675,-143.850333,2018-05-13,Pacific Ocean,,,Manta net,Medium
0.0,pieces/m3,42.49,-69.48,2001-08-13,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,43.48,-69.66,1992-05-25,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,57.6858,-2.0011,2015-01-11,Atlantic Ocean,North Sea,,Grab sample,Very Low
0.005593,pieces/m3,57.172,-1.823333,2018-01-15,Atlantic Ocean,North Sea,,Neuston net,Medium
0.0,pieces/m3,0.27,-127.68,2002-12-21,Pacific Ocean,,,Neuston net,Very Low
0.00648,pieces/m3,26.05,-141.2,2004-03-30,Pacific Ocean,,,Neuston net,Medium
0.018512,pieces/m3,40.5,-64.07,2001-06-02,Atlantic Ocean,,,Neuston net,Medium
0.058058,pieces/m3,39.133667,-30.372,2019-06-06,Atlantic Ocean,,,Manta net,Medium
0.04612,pieces/m3,44.13,-68.82,1996-10-16,Atlantic Ocean,,,Neuston net,Medium
0.00432,pieces/m3,35.6,-64.67,1995-05-27,Atlantic Ocean,,,Neuston net,Low
0.02376,pieces/m3,35.47,-63.87,1992-05-14,Atlantic Ocean,,,Neuston net,Medium
0.092872,pieces/m3,36.23,-64.02,1991-10-15,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,40.35,-69.23,2003-07-20,Atlantic Ocean,,,Neuston net,Very Low
0.00432,pieces/m3,42.17,-67.39,1992-08-19,Atlantic Ocean,,,Neuston net,Low
0.064796,pieces/m3,24.89,-73.03,2000-04-26,Atlantic Ocean,,,Neuston net,Medium
0.023204,pieces/m3,29.76,-61.95,2002-05-15,Atlantic Ocean,,,Neuston net,Medium
0.021,pieces/m3,20.9097,-35.0307,2014-11-30,Atlantic Ocean,,,Grab sample,Medium
0.043196,pieces/m3,32.12,-68.0,1996-05-19,Atlantic Ocean,,,Neuston net,Medium
706.389134,pieces/m3,21.526733,-87.37755,2018-05-19,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,Medium
0.0,pieces/m3,20.63028,-87.065838,2018-05-10,Atlantic Ocean,Caribbean Sea,,PVC cylinder,Very Low
0.0,pieces/m3,25.27,-77.23,1997-05-15,Atlantic Ocean,,,Neuston net,Very Low
0.024128,pieces/m3,25.48,-56.1,2005-10-28,Atlantic Ocean,,,Neuston net,Medium
0.00432,pieces/m3,20.22,-70.48,1990-04-25,Atlantic Ocean,,,Neuston net,Low
0.01728,pieces/m3,25.3,-68.2,1999-02-20,Atlantic Ocean,,,Neuston net,Medium
0.038416,pieces/m3,15.37,-62.1,1993-12-15,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.0,pieces/m3,18.52,-59.56,2004-11-02,Atlantic Ocean,,,Neuston net,Very Low
0.050404,pieces/m3,29.35,-78.98,1998-02-14,Atlantic Ocean,,,Neuston net,Medium
0.01944,pieces/m3,29.7,-76.98,1997-02-14,Atlantic Ocean,,,Neuston net,Medium
0.068,pieces/m3,26.3583,-78.4833,2016-01-08,Atlantic Ocean,,,Grab sample,Medium
4000.0,pieces/m3,27.9237,-82.4807,2017-07-10,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,Very High
0.0216,pieces/m3,18.27,-76.27,1994-02-25,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.0,pieces/m3,17.4983,-87.8358,2014-03-15,Atlantic Ocean,Caribbean Sea,,Grab sample,Very Low
0.0018,pieces/m3,12.13,-62.2,1999-12-12,Atlantic Ocean,Caribbean Sea,,Neuston net,Low
0.0,pieces/m3,12.65,-62.57,1989-12-13,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,14.17,-63.99,1998-12-05,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.00216,pieces/m3,24.28,-143.99,2011-02-21,Pacific Ocean,,,Neuston net,Low
0.576667,pieces/m3,39.286,19.847,2015-04-26,Atlantic Ocean,Mediterranean Sea,Ionian Sea,Manta net,Medium
0.0,pieces/m3,24.03,-138.44,2005-12-12,Pacific Ocean,,,Neuston net,Very Low
7.753387,pieces/m3,33.94,-142.0,2019-07-25,Pacific Ocean,,,Manta net,High
0.174134,pieces/m3,41.5305,5.151183,2018-05-07,Atlantic Ocean,Mediterranean Sea,Western Basin,Manta net,Medium
0.0,pieces/m3,23.15,-144.69,2008-10-16,Pacific Ocean,,,Neuston net,Very Low
1.0,pieces/m3,44.54368,-7.205424,2015-11-03,Atlantic Ocean,,,Intake seawater pump,High
0.099199,pieces/m3,56.984833,-6.517333,2016-01-10,Atlantic Ocean,Inner Seas off the West Coast of Scotland,,Neuston net,Medium
0.09506,pieces/m3,-27.15432,-109.46261,2015-10-28,Pacific Ocean,,,AVANI net,Medium
0.02852,pieces/m3,-26.99475,-104.54404,2015-10-26,Pacific Ocean,,,AVANI net,Medium
0.0,pieces/m3,2.19,-135.73,2008-06-25,Pacific Ocean,,,Neuston net,Very Low
0.0,pieces/m3,25.35,-141.11,2008-10-22,Pacific Ocean,,,Neuston net,Very Low
0.007716,pieces/m3,37.45,-57.42,1991-10-18,Atlantic Ocean,,,Neuston net,Medium
0.367589,pieces/m3,33.4238,-35.0883,2013-06-17,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,44.14,-59.85,1999-07-12,Atlantic Ocean,,,Neuston net,Very Low
0.01,pieces/m3,51.4031,-30.1821,2015-08-17,Atlantic Ocean,,,Grab sample,Medium
0.062636,pieces/m3,27.54,-64.44,2005-05-16,Atlantic Ocean,,,Neuston net,Medium
0.00216,pieces/m3,31.23,-73.62,2005-04-05,Atlantic Ocean,,,Neuston net,Low
0.008,pieces/m3,38.1414,-76.6133,2015-08-01,Atlantic Ocean,,,Grab sample,Medium
0.001168,pieces/m3,24.22,-74.4,1990-04-23,Atlantic Ocean,,,Neuston net,Low
0.00648,pieces/m3,23.74,-74.7,1999-02-21,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,20.21,-79.82,2001-12-18,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.028076,pieces/m3,28.98,-58.43,2002-10-28,Atlantic Ocean,,,Neuston net,Medium
0.00432,pieces/m3,21.68,-56.7,2002-11-02,Atlantic Ocean,,,Neuston net,Low
0.0,pieces/m3,20.98,-68.28,1991-12-19,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,24.37,-82.24,2003-01-06,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,24.01,-82.07,2008-05-01,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,25.6,-77.58,1993-03-31,Atlantic Ocean,,,Neuston net,Very Low
2.3,pieces/m3,27.9528,-82.6416,2016-10-03,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Plankton net,High
1000.0,pieces/m3,27.5737,-82.6868,2017-06-19,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,Very High
1000.0,pieces/m3,27.6081,-82.5712,2017-04-17,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,Very High
0.007196,pieces/m3,11.87,-61.33,1995-11-17,Atlantic Ocean,Caribbean Sea,,Neuston net,Medium
0.022,pieces/m3,18.3043,-45.5097,2014-12-05,Atlantic Ocean,,,Grab sample,Medium
0.012,pieces/m3,19.0,-43.95,2014-12-05,Atlantic Ocean,,,Grab sample,Medium
0.0,pieces/m3,26.25,-78.57,1993-02-10,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,26.03,-79.58,1994-05-08,Atlantic Ocean,,,Neuston net,Very Low
0.02376,pieces/m3,25.93,-79.7,1996-02-09,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,20.13,-71.87,1993-01-01,Atlantic Ocean,,,Neuston net,Very Low
0.0216,pieces/m3,15.49,-58.88,1999-11-06,Atlantic Ocean,,,Neuston net,Medium
0.0036,pieces/m3,20.07,-57.93,2007-10-27,Atlantic Ocean,,,Neuston net,Low
0.009,pieces/m3,17.0717,-53.8258,2014-12-07,Atlantic Ocean,,,Grab sample,Medium
